 Area,    sigArea, Volume,  sigVolume
 1.05437, 0.01527, 0.03269, 0.00278
 2.79031, 0.04048, 0.09976, 0.00807
12.91016, 0.13916, 1.10200, 0.16406
 1.86609, 0.02347, 0.08219, 0.00967
 2.56719, 0.03016, 0.11622, 0.00677
 9.59875, 0.11809, 0.93131, 0.06188
 8.74891, 0.13214, 0.59629, 0.07572
 1.50453, 0.01783, 0.05343, 0.00491
 2.18203, 0.02905, 0.10156, 0.00978
 1.13312, 0.01863, 0.03412, 0.00420
 2.57281, 0.03620, 0.15203, 0.01008
 2.63219, 0.03614, 0.13406, 0.01027
 3.38031, 0.03518, 0.18140, 0.02009
 7.66109, 0.09392, 0.48259, 0.06651
 2.56391, 0.03823, 0.10184, 0.02376
 3.32891, 0.04241, 0.19561, 0.01385
 4.65766, 0.05695, 0.25258, 0.02723
 1.62484, 0.02240, 0.06262, 0.00540
 1.11797, 0.01455, 0.03585, 0.00500
 2.06062, 0.02940, 0.07755, 0.00532
 3.03031, 0.03081, 0.17984, 0.01231
 1.16781, 0.01439, 0.03584, 0.00332
 1.16219, 0.01313, 0.04344, 0.00701
 1.93078, 0.02566, 0.08018, 0.00209
 2.60641, 0.03467, 0.14980, 0.01220
 8.75453, 0.12834, 0.55271, 0.03248
 1.87469, 0.01929, 0.06617, 0.00347
 1.65703, 0.02449, 0.06453, 0.00280
 1.50562, 0.02718, 0.04710, 0.00871
 1.04500, 0.01141, 0.03824, 0.00246
 1.05109, 0.01113, 0.03301, 0.00197
 1.35906, 0.01995, 0.04121, 0.00296
 2.98875, 0.03299, 0.13529, 0.02812
 2.20766, 0.03278, 0.10282, 0.00643
15.73187, 0.16655, 1.02574, 0.11834
 1.07344, 0.01301, 0.03351, 0.00180
 1.02375, 0.01188, 0.03444, 0.00188
 6.17844, 0.06497, 0.50276, 0.06967
 1.11734, 0.01896, 0.03015, 0.00201
 1.95219, 0.02764, 0.10111, 0.01754
16.89266, 0.19187, 1.54162, 0.17904
 4.99484, 0.05107, 0.24992, 0.02820
 1.06844, 0.01368, 0.03330, 0.00432
 1.72141, 0.02096, 0.06910, 0.00297
 9.66437, 0.12129, 0.66210, 0.08955
13.51969, 0.15794, 1.08695, 0.15546
 1.41625, 0.01346, 0.06575, 0.00565
 2.02297, 0.02300, 0.09836, 0.00854
 2.52422, 0.03470, 0.09868, 0.01553
 1.35484, 0.01528, 0.06086, 0.00627
26.40078, 0.48074, 3.11123, 0.24092
 2.11141, 0.02948, 0.07779, 0.00499
 1.08453, 0.01655, 0.03012, 0.00302
20.71094, 0.33937, 1.54843, 0.15404
 1.59500, 0.01589, 0.08297, 0.01925
 1.54547, 0.02358, 0.07250, 0.01542
 1.52797, 0.01994, 0.07754, 0.01724
 1.02969, 0.01243, 0.04586, 0.01026
 2.10781, 0.02948, 0.09339, 0.01303
 2.09563, 0.02861, 0.09558, 0.01464
22.05906, 0.27192, 3.46319, 0.25046
 2.17719, 0.02600, 0.09746, 0.01288
 4.67781, 0.05557, 0.23957, 0.04303
34.44547, 0.56726, 3.69890, 0.35379
 5.16484, 0.06910, 0.36589, 0.05867
 1.19703, 0.01706, 0.04481, 0.00410
 1.31703, 0.01634, 0.03850, 0.00377
 4.36203, 0.05102, 0.26468, 0.03407
 1.34422, 0.01715, 0.04817, 0.00477
 1.51234, 0.01578, 0.06502, 0.00620
 4.03750, 0.04237, 0.25599, 0.02910
 3.41984, 0.03435, 0.13758, 0.00627
 2.54688, 0.03587, 0.16222, 0.03209
 1.15000, 0.01415, 0.03955, 0.00192
 1.16094, 0.01645, 0.03802, 0.00222
 4.39953, 0.06329, 0.20427, 0.03746
 2.90344, 0.03431, 0.12386, 0.00629
 6.13328, 0.07083, 0.42013, 0.02878
 1.14219, 0.02065, 0.04722, 0.01051
 1.78609, 0.02092, 0.09235, 0.01120
 1.20687, 0.01621, 0.04549, 0.00277
 1.29922, 0.02878, 0.04929, 0.00593
 3.35875, 0.04684, 0.18676, 0.01629
10.08531, 0.13268, 0.80996, 0.09798
13.92594, 0.13572, 1.30304, 0.10068
 1.10203, 0.01396, 0.04420, 0.00395
 2.33062, 0.02912, 0.12977, 0.02166
 1.13328, 0.01515, 0.03369, 0.00318
 1.01594, 0.01140, 0.03069, 0.00108
 1.74984, 0.02345, 0.06470, 0.00762
 1.13422, 0.01210, 0.05282, 0.00856
 1.17500, 0.01732, 0.03034, 0.00178
 1.36000, 0.01621, 0.05126, 0.00287
 2.30328, 0.02505, 0.11627, 0.01027
 1.33656, 0.01822, 0.05751, 0.01108
 5.19359, 0.06237, 0.38426, 0.10044
 7.92625, 0.10014, 0.50514, 0.06800
 5.73750, 0.06547, 0.31380, 0.03649
 1.45203, 0.01533, 0.05565, 0.00801
21.49609, 0.41369, 1.86817, 0.18772
 3.06922, 0.04260, 0.13751, 0.01227
 2.32937, 0.02859, 0.10475, 0.00549
 1.03109, 0.01417, 0.03552, 0.00723
 4.42609, 0.05085, 0.22468, 0.02991
 5.64359, 0.06288, 0.49641, 0.05078
 1.54953, 0.02018, 0.05194, 0.00369
 1.05797, 0.01445, 0.03695, 0.00392
 2.34250, 0.02274, 0.10350, 0.01224
 1.10859, 0.02373, 0.04048, 0.00520
 1.28172, 0.01831, 0.03848, 0.00444
 1.43422, 0.02313, 0.05262, 0.00632
 1.01125, 0.02061, 0.03319, 0.00429
16.90516, 0.20270, 1.26484, 0.02942
 1.24750, 0.01591, 0.04900, 0.00400
12.16156, 0.14968, 0.68610, 0.07245
 1.41547, 0.01996, 0.05014, 0.00428
 1.97750, 0.02956, 0.08098, 0.00772
 2.19766, 0.01920, 0.09947, 0.01453
 2.58391, 0.02883, 0.13456, 0.01636
 4.77516, 0.05008, 0.25909, 0.02985
 1.42250, 0.02216, 0.05994, 0.00474
 6.52750, 0.08715, 0.33793, 0.01650
 2.90172, 0.03221, 0.13919, 0.00664
 8.16469, 0.08082, 0.90329, 0.02930
 1.54453, 0.01757, 0.05518, 0.00193
 2.53094, 0.03239, 0.12656, 0.01714
 8.26594, 0.08495, 0.45942, 0.04375
 6.24563, 0.07514, 0.35804, 0.05117
 1.06406, 0.01305, 0.03603, 0.00277
 1.06937, 0.01563, 0.03934, 0.00234
 4.71547, 0.05777, 0.30523, 0.02368
 5.16375, 0.06230, 0.48726, 0.05090
 5.00953, 0.06649, 0.30156, 0.01982
 2.04516, 0.02238, 0.09477, 0.00796
 4.94578, 0.05225, 0.30091, 0.02337
 2.15234, 0.02213, 0.10029, 0.00478
 7.48938, 0.10551, 0.49706, 0.03045
 3.06453, 0.03056, 0.21040, 0.01798
 1.52641, 0.01794, 0.05624, 0.00277
 2.80234, 0.03834, 0.15761, 0.00605
 1.25516, 0.01641, 0.03937, 0.00058
 1.69422, 0.02004, 0.05986, 0.00235
 2.67453, 0.02940, 0.09808, 0.00633
 2.42109, 0.03766, 0.09685, 0.00182
 1.78187, 0.02024, 0.07183, 0.00877
 2.71813, 0.03032, 0.12339, 0.01758
 1.52406, 0.02055, 0.05397, 0.00408
 1.40391, 0.01530, 0.05641, 0.00288
 1.48406, 0.02008, 0.06218, 0.00469
 3.44078, 0.04680, 0.14014, 0.00794
10.63641, 0.09633, 0.96763, 0.02991
 1.56047, 0.02708, 0.05883, 0.00401
 7.11453, 0.06858, 0.53935, 0.02969
 1.24531, 0.02041, 0.05380, 0.00474
 6.37234, 0.05968, 0.61758, 0.05971
 5.65297, 0.07404, 0.41771, 0.03561
 8.09906, 0.08600, 0.68188, 0.05662
 1.87797, 0.02265, 0.07517, 0.00368
 6.11766, 0.06724, 0.47967, 0.03064
 5.03625, 0.05806, 0.26969, 0.01958
 1.14516, 0.01601, 0.04496, 0.00621
 2.01859, 0.02610, 0.08975, 0.00622
 1.23531, 0.01306, 0.04523, 0.00318
 1.94281, 0.02651, 0.08053, 0.00690
 1.38688, 0.01489, 0.06048, 0.00581
 4.34391, 0.05901, 0.25784, 0.02437
 1.85922, 0.02522, 0.08804, 0.00926
 3.50391, 0.04721, 0.19204, 0.01119
 1.74266, 0.02016, 0.07523, 0.00446
 4.95922, 0.06035, 0.34226, 0.02889
 2.02250, 0.02394, 0.09586, 0.00618
 6.48391, 0.06489, 0.35714, 0.02266
 1.50922, 0.01813, 0.05111, 0.00467
 7.81906, 0.07439, 0.39816, 0.03649
 1.35297, 0.02007, 0.05462, 0.00308
 1.58156, 0.02333, 0.06950, 0.00574
 8.68531, 0.10175, 0.63386, 0.06299
15.31437, 0.23545, 0.96144, 0.06878
 1.09000, 0.01296, 0.04406, 0.00463
 1.29297, 0.01571, 0.05136, 0.00710
 3.98641, 0.04607, 0.24318, 0.01611
 1.23266, 0.01428, 0.03550, 0.00224
 2.29406, 0.02875, 0.12170, 0.01817
 2.32281, 0.02920, 0.13283, 0.00829
 1.22766, 0.01537, 0.04517, 0.00311
 9.75109, 0.08522, 0.78635, 0.07514
 1.18687, 0.01470, 0.03682, 0.00235
11.28016, 0.14333, 1.00881, 0.09568
 5.11062, 0.05269, 0.36012, 0.06107
 9.73578, 0.10192, 0.80372, 0.08838
 1.91844, 0.02471, 0.07980, 0.01084
 1.14625, 0.01383, 0.03704, 0.00446
 1.17953, 0.01767, 0.04566, 0.00375
 2.46156, 0.02457, 0.13538, 0.01616
16.69078, 0.24270, 1.36374, 0.03910
 6.37828, 0.06414, 0.53161, 0.04757
 1.71453, 0.02984, 0.06530, 0.00882
 1.46406, 0.01836, 0.04906, 0.00163
 5.56703, 0.04173, 0.38116, 0.01896
 4.12531, 0.05624, 0.22959, 0.03366
 1.07859, 0.01200, 0.04200, 0.00706
 3.16328, 0.05242, 0.16236, 0.02747
 2.30031, 0.02985, 0.12180, 0.01067
17.94797, 0.22481, 1.58017, 0.12541
 1.36859, 0.02449, 0.05583, 0.00930
15.13672, 0.15174, 1.33599, 0.09197
 5.73797, 0.05627, 0.50199, 0.05409
 1.39922, 0.01912, 0.07660, 0.00854
 1.58625, 0.02030, 0.06547, 0.00750
 6.07016, 0.07495, 0.41863, 0.06913
 7.58594, 0.10979, 0.48323, 0.03090
 7.94156, 0.13022, 0.46965, 0.07927
12.72000, 0.20154, 1.10638, 0.19405
 1.07578, 0.01873, 0.03048, 0.00368
 1.70938, 0.01860, 0.05096, 0.00401
 3.95500, 0.05850, 0.23396, 0.03622
 3.53359, 0.03815, 0.22006, 0.02232
 1.79125, 0.02258, 0.07649, 0.00561
 7.17188, 0.08783, 0.52144, 0.06940
15.22172, 0.20170, 1.40853, 0.10812
 6.21219, 0.05902, 0.36887, 0.03263
 4.94781, 0.09945, 0.25300, 0.02097
 1.13891, 0.01794, 0.03665, 0.00228
 2.30297, 0.02488, 0.10146, 0.00840
 1.59984, 0.02062, 0.06304, 0.00432
 1.36781, 0.02075, 0.05251, 0.00691
 2.41891, 0.03714, 0.07901, 0.00358
 7.48812, 0.10421, 0.54482, 0.03721
 2.00297, 0.02827, 0.07851, 0.00734
 1.01344, 0.01635, 0.03564, 0.00338
 7.28656, 0.09073, 0.41493, 0.03795
 1.56578, 0.01890, 0.04806, 0.00217
 1.38078, 0.02364, 0.03931, 0.00270
 3.42937, 0.04043, 0.20372, 0.01655
 3.80078, 0.04326, 0.18889, 0.02548
11.11594, 0.13372, 0.64512, 0.04428
 3.93312, 0.05204, 0.17771, 0.01725
 2.06500, 0.03313, 0.09516, 0.00482
 1.65266, 0.02451, 0.05359, 0.00093
 2.21047, 0.03179, 0.09027, 0.01168
 1.25578, 0.02042, 0.04929, 0.00245
 1.97688, 0.02585, 0.09096, 0.01062
 1.99609, 0.02942, 0.07004, 0.00185
 1.02969, 0.01566, 0.03556, 0.00193
 2.43078, 0.03468, 0.07221, 0.00550
 1.87203, 0.03385, 0.05840, 0.00481
 6.73000, 0.41284, 0.35314, 0.10521
 9.66906, 0.60561, 0.64512, 0.19626
 1.14750, 0.01617, 0.03923, 0.00125
 1.36172, 0.02069, 0.04618, 0.00208
 3.92938, 0.05041, 0.16663, 0.00701
 8.61813, 0.09104, 0.64031, 0.04913
 1.50594, 0.01905, 0.06168, 0.00732
 2.23953, 0.02457, 0.11982, 0.00682
 1.99172, 0.02807, 0.07375, 0.00968
 1.25281, 0.01363, 0.05423, 0.00239
 1.20547, 0.01784, 0.03877, 0.00551
 5.60828, 0.05004, 0.34617, 0.03222
 3.12891, 0.03724, 0.15275, 0.02410
 2.16453, 0.02916, 0.08747, 0.00643
 3.91031, 0.03571, 0.20828, 0.01691
 2.95484, 0.03690, 0.16008, 0.03148
 1.68000, 0.02195, 0.06384, 0.01163
 3.31922, 0.03610, 0.18559, 0.00634
 2.14938, 0.02899, 0.06568, 0.00275
 1.16797, 0.01889, 0.03021, 0.00666
 3.35984, 0.04484, 0.13668, 0.01354
 1.07109, 0.02213, 0.03713, 0.00430
 1.45375, 0.01635, 0.08677, 0.01417
 2.47328, 0.03315, 0.11709, 0.01397
 1.33891, 0.02190, 0.03727, 0.00193
 2.22094, 0.02059, 0.09327, 0.00764
 4.60031, 0.07884, 0.25495, 0.01317
 1.57250, 0.02198, 0.05439, 0.00343
 2.21313, 0.03482, 0.09998, 0.01295
 1.25875, 0.02033, 0.03099, 0.00464
 1.11297, 0.01423, 0.03664, 0.00200
 2.45484, 0.02660, 0.14480, 0.01323
 2.95031, 0.03084, 0.21101, 0.02295
 1.22484, 0.02159, 0.02855, 0.00213
 1.03297, 0.01502, 0.03834, 0.00318
 8.34078, 0.11403, 0.43673, 0.03188
 2.12062, 0.02501, 0.08791, 0.00444
 1.05328, 0.01876, 0.03745, 0.00449
 1.08766, 0.01811, 0.03783, 0.01280
 1.80141, 0.02005, 0.06790, 0.00477
 4.09906, 0.04352, 0.23602, 0.02868
 1.06203, 0.01955, 0.03255, 0.00355
 1.28750, 0.01848, 0.04914, 0.00829
 2.21000, 0.03079, 0.08128, 0.00407
 1.11922, 0.01499, 0.02724, 0.00124
 1.33594, 0.01481, 0.03406, 0.00051
 1.04828, 0.01500, 0.04318, 0.00241
15.13641, 0.24144, 1.20217, 0.11281
 1.11891, 0.01706, 0.03267, 0.00162
 7.91641, 0.13073, 0.53949, 0.04362
26.42016, 0.41070, 2.45149, 0.16708
12.17406, 0.13562, 0.77376, 0.09991
 5.23141, 0.06113, 0.24525, 0.02616
 5.47344, 0.06734, 0.27469, 0.02312
 1.39688, 0.02281, 0.05433, 0.00401
 9.22906, 0.14412, 0.59399, 0.04452
 1.94297, 0.02206, 0.08761, 0.00356
 1.82937, 0.02793, 0.08456, 0.02161
 2.21531, 0.02864, 0.13298, 0.01694
 1.03297, 0.01644, 0.02967, 0.00378
 1.04531, 0.01315, 0.02326, 0.00070
 4.46859, 0.04349, 0.19304, 0.03446
 1.73031, 0.02225, 0.05948, 0.00295
 3.69813, 0.04296, 0.22477, 0.02835
 1.95344, 0.02890, 0.12317, 0.02551
 2.03734, 0.03076, 0.07472, 0.00948
 2.53703, 0.03560, 0.08925, 0.01240
 3.82781, 0.04484, 0.21454, 0.00807
 3.37453, 0.04889, 0.17332, 0.02655
 2.93922, 0.03650, 0.13896, 0.00808
 3.68672, 0.04610, 0.16552, 0.01617
 5.64094, 0.05007, 0.29876, 0.02416
 2.04016, 0.03016, 0.07077, 0.00780
 1.55500, 0.01920, 0.07184, 0.01952
 1.70953, 0.02244, 0.05758, 0.00187
 2.09063, 0.03450, 0.08569, 0.00947
 3.07406, 0.04734, 0.12151, 0.01551
 5.58937, 0.07705, 0.43363, 0.04676
 1.31875, 0.01628, 0.03562, 0.00202
 3.26922, 0.04022, 0.14068, 0.00912
 2.49109, 0.04365, 0.07060, 0.00826
 8.58391, 0.08708, 0.56694, 0.04136
 2.51281, 0.02720, 0.11596, 0.01121
 1.14391, 0.01760, 0.03233, 0.00199
 1.41016, 0.02085, 0.05480, 0.00218
 1.11203, 0.01529, 0.05280, 0.00697
 2.26344, 0.03308, 0.11326, 0.00937
 2.19937, 0.03255, 0.07834, 0.00499
 1.25687, 0.01750, 0.04279, 0.00228
 2.08141, 0.02792, 0.10545, 0.00791
 1.76906, 0.02897, 0.05093, 0.00681
 1.59750, 0.02184, 0.06665, 0.00568
 1.95797, 0.03534, 0.06338, 0.00384
 1.41938, 0.02519, 0.03885, 0.00508
